id,BRAND,CHOICE,FASH,QUAL,PRICE,PRICESQ,ASC4,MALE,AGE25,AGE39,AGE40             
1,1,0,0,0,.1200000,.0144000,0,0,0,1,0   
1,2,1,1,0,.1200000,.0144000,0,0,0,1,0   
1,3,0,0,1,.0800000,.0064000,0,0,0,1,0   
1,4,0,0,0,0,0,1,0,0,1,0                 
1,1,1,1,1,.1200000,.0144000,0,0,0,1,0   
1,2,0,0,1,.1200000,.0144000,0,0,0,1,0   
1,3,0,1,0,.1200000,.0144000,0,0,0,1,0   
1,4,0,0,0,0,0,1,0,0,1,0                 
1,1,0,0,1,.0800000,.0064000,0,0,0,1,0   
1,2,0,1,1,.2000000,.0400000,0,0,0,1,0   
1,3,1,1,0,.0800000,.0064000,0,0,0,1,0   
1,4,0,0,0,0,0,1,0,0,1,0                 
1,1,0,0,0,.0800000,.0064000,0,0,0,1,0   
1,2,1,0,1,.1600000,.0256000,0,0,0,1,0   
1,3,0,1,1,.2000000,.0400000,0,0,0,1,0   
1,4,0,0,0,0,0,1,0,0,1,0                 
1,1,1,0,0,.0400000,.0016000,0,0,0,1,0   
1,2,0,1,0,.1200000,.0144000,0,0,0,1,0   
1,3,0,1,0,.0800000,.0064000,0,0,0,1,0   
1,4,0,0,0,0,0,1,0,0,1,0                 
1,1,0,0,0,.0800000,.0064000,0,0,0,1,0   
1,2,0,0,1,.1200000,.0144000,0,0,0,1,0   
1,3,1,1,0,.0800000,.0064000,0,0,0,1,0   
1,4,0,0,0,0,0,1,0,0,1,0                 
1,1,0,1,1,.2000000,.0400000,0,0,0,1,0   
1,2,1,0,0,.0800000,.0064000,0,0,0,1,0   
1,3,0,0,1,.0800000,.0064000,0,0,0,1,0   
1,4,0,0,0,0,0,1,0,0,1,0                 
1,1,0,0,1,.0800000,.0064000,0,0,0,1,0   
1,2,1,1,0,.1200000,.0144000,0,0,0,1,0   
1,3,0,0,0,.0400000,.0016000,0,0,0,1,0   
1,4,0,0,0,0,0,1,0,0,1,0                 
2,1,0,0,0,.1200000,.0144000,0,1,1,0,0   
2,2,0,1,0,.1200000,.0144000,0,1,1,0,0   
2,3,1,0,1,.0800000,.0064000,0,1,1,0,0   
2,4,0,0,0,0,0,1,1,1,0,0                 
2,1,1,1,1,.1200000,.0144000,0,1,1,0,0   
2,2,0,0,1,.1200000,.0144000,0,1,1,0,0   
2,3,0,1,0,.1200000,.0144000,0,1,1,0,0   
2,4,0,0,0,0,0,1,1,1,0,0                 
2,1,1,0,1,.0800000,.0064000,0,1,1,0,0   
2,2,0,1,1,.2000000,.0400000,0,1,1,0,0   
2,3,0,1,0,.0800000,.0064000,0,1,1,0,0   
2,4,0,0,0,0,0,1,1,1,0,0                 
2,1,1,0,0,.0800000,.0064000,0,1,1,0,0   
2,2,0,0,1,.1600000,.0256000,0,1,1,0,0   
2,3,0,1,1,.2000000,.0400000,0,1,1,0,0   
2,4,0,0,0,0,0,1,1,1,0,0                 
2,1,0,0,0,.0400000,.0016000,0,1,1,0,0   
2,2,0,1,0,.1200000,.0144000,0,1,1,0,0   
2,3,0,1,0,.0800000,.0064000,0,1,1,0,0   
2,4,1,0,0,0,0,1,1,1,0,0                 
2,1,0,0,0,.0800000,.0064000,0,1,1,0,0   
2,2,1,0,1,.1200000,.0144000,0,1,1,0,0   
2,3,0,1,0,.0800000,.0064000,0,1,1,0,0   
2,4,0,0,0,0,0,1,1,1,0,0                 
2,1,0,1,1,.2000000,.0400000,0,1,1,0,0   
2,2,0,0,0,.0800000,.0064000,0,1,1,0,0   
2,3,1,0,1,.0800000,.0064000,0,1,1,0,0   
2,4,0,0,0,0,0,1,1,1,0,0                 
2,1,0,0,1,.0800000,.0064000,0,1,1,0,0   
2,2,0,1,0,.1200000,.0144000,0,1,1,0,0   
2,3,0,0,0,.0400000,.0016000,0,1,1,0,0   
2,4,1,0,0,0,0,1,1,1,0,0                 
3,1,0,0,0,.1200000,.0144000,0,0,0,0,1   
3,2,0,1,0,.1200000,.0144000,0,0,0,0,1   
3,3,1,0,1,.0800000,.0064000,0,0,0,0,1   
